,0,1,2,3,4
276,0,-1,-1,-1,1
277,0,0,1,0,1
278,1,-1,1,0,0
279,0,0,1,0,0
280,1,-1,-1,0,1
281,1,0,0,1,0
282,0,-1,-1,1,-1
283,-1,-1,1,0,1
284,0,0,-1,1,-1
285,0,1,1,1,-1
286,-1,-1,0,-1,0
287,-1,0,0,0,-1
288,-1,0,0,1,-1
289,1,-1,-1,0,-1
290,-1,-1,1,0,-1
291,1,1,1,-1,-1
292,-1,-1,-1,1,-1
293,-1,-1,0,-1,1
294,0,0,0,1,0
295,0,1,1,-1,-1
296,0,-1,0,-1,1
297,0,1,1,-1,1
298,1,0,1,-1,-1
299,0,-1,0,0,-1
300,-1,1,1,1,-1
301,-1,0,1,0,-1
302,1,1,0,1,1
303,-1,0,0,-1,1
304,-1,1,1,-1,0
305,-1,1,-1,1,1
306,-1,-1,-1,-1,-1
307,1,1,0,1,1
308,-1,1,0,1,1
309,1,1,-1,1,1
310,-1,0,-1,1,0
311,1,1,1,1,-1
312,0,-1,1,-1,1
313,0,-1,1,0,1
314,1,1,-1,-1,1
315,1,1,0,1,-1
316,1,1,0,1,-1
317,0,0,1,0,-1
318,0,0,1,0,0
319,-1,0,1,0,1
320,-1,-1,0,0,-1
321,-1,-1,-1,-1,-1
322,-1,-1,-1,-1,-1
323,-1,1,0,-1,1
324,0,-1,-1,1,1
325,0,1,0,-1,1
326,-1,0,-1,0,1
327,0,0,-1,0,0
328,-1,1,0,0,-1
329,1,-1,0,1,1
330,-1,0,0,0,-1
331,1,0,0,-1,0
332,-1,0,-1,0,1
333,1,1,1,0,0
334,0,1,0,-1,0
335,0,0,0,1,1
336,0,1,-1,0,1
337,0,1,1,0,0
338,1,-1,0,-1,-1
339,-1,0,1,-1,0
340,1,0,0,1,1
341,1,-1,1,-1,1
342,-1,0,0,0,0
343,0,1,0,-1,1
344,0,-1,1,0,0
345,-1,0,-1,0,0
346,-1,0,-1,1,-1
347,0,-1,1,1,0
348,0,0,-1,1,-1
349,-1,0,0,-1,0
350,-1,1,0,0,0
351,0,1,-1,-1,0
352,0,-1,-1,0,-1
353,-1,-1,-1,-1,0
354,0,1,0,0,-1
355,0,0,0,-1,-1
356,0,1,-1,-1,0
357,1,-1,0,1,1
358,-1,0,-1,0,0
359,0,1,0,-1,-1
360,0,-1,1,-1,0
361,0,0,1,1,-1
362,0,0,0,0,-1
363,1,-1,-1,-1,1
364,0,1,0,1,1
365,-1,0,0,-1,-1
366,1,-1,-1,1,0
367,1,0,-1,-1,0
368,1,0,-1,1,0
369,0,0,1,-1,0
370,0,1,0,-1,-1
371,1,-1,0,1,0
372,0,-1,-1,0,1
373,1,0,1,1,0
374,0,-1,-1,-1,-1
375,0,0,0,0,1
376,1,0,0,0,-1
377,0,-1,-1,-1,1
378,-1,1,-1,1,-1
379,1,-1,-1,0,-1
380,0,-1,-1,-1,1
381,1,-1,1,-1,-1
382,0,0,0,0,1
383,0,-1,1,-1,1
384,1,1,0,1,1
385,0,1,-1,-1,-1
386,-1,0,-1,1,-1
387,1,1,0,0,-1
388,1,1,1,0,-1
389,1,1,-1,0,-1
390,-1,1,0,1,-1
391,-1,1,0,-1,-1
392,-1,1,1,1,0
393,1,-1,-1,1,0
394,1,0,-1,0,0
395,-1,0,1,-1,0
396,-1,1,1,-1,-1
397,-1,1,1,0,-1
398,1,-1,0,-1,1
399,0,0,1,1,0
400,0,0,1,0,-1
401,0,0,-1,0,-1
402,-1,-1,1,0,0
403,1,1,-1,1,0
404,1,-1,1,0,1
405,0,1,-1,-1,0
406,0,0,-1,0,-1
407,0,-1,1,1,1
408,1,0,-1,0,0
409,1,0,-1,-1,-1
410,-1,1,-1,1,-1
411,0,-1,1,0,-1
412,1,1,0,1,-1
413,0,1,1,-1,-1
414,1,0,0,1,-1
415,1,0,0,1,0
416,0,0,1,0,-1
417,1,1,0,-1,1
418,-1,0,-1,0,-1
419,0,1,1,1,-1
420,-1,0,0,1,1
421,-1,-1,1,-1,1
422,0,1,1,-1,0
423,-1,0,-1,1,1
424,0,-1,0,0,-1
425,0,1,-1,0,0
426,0,0,1,0,0
427,1,0,-1,0,0
428,0,1,-1,1,0
429,1,0,1,0,1
430,0,-1,-1,0,1
431,-1,-1,1,1,0
432,1,1,0,0,1
433,1,0,1,-1,0
434,0,-1,1,0,1
435,0,-1,-1,1,-1
436,0,1,-1,-1,1
437,-1,1,-1,1,1
438,-1,1,0,-1,0
439,-1,1,-1,1,-1
440,0,0,1,1,0
441,1,1,-1,-1,0
442,-1,1,1,1,1
443,0,0,0,1,0
444,1,0,1,0,0
445,0,0,-1,-1,0
446,0,0,0,0,0
447,-1,-1,-1,-1,-1
448,-1,-1,0,0,0
449,-1,0,1,-1,0
450,1,-1,1,0,0
451,0,-1,1,-1,0
452,1,1,1,0,0
453,-1,1,0,-1,-1
454,0,-1,-1,0,0
455,1,-1,-1,1,0
456,1,1,-1,1,-1
457,0,-1,-1,-1,1
458,1,0,-1,1,-1
459,1,1,1,0,-1
460,0,1,0,0,-1
461,1,-1,-1,1,0
462,0,-1,-1,0,1
463,-1,-1,1,-1,-1
464,1,0,-1,1,0
465,-1,1,-1,-1,1
466,0,-1,-1,0,0
467,1,1,1,1,-1
468,1,0,1,-1,0
469,-1,1,0,-1,-1
470,0,-1,1,-1,0
471,1,-1,1,-1,1
472,0,-1,0,1,0
473,0,0,-1,1,1
474,-1,0,1,1,-1
475,1,-1,0,-1,0
476,1,1,1,1,-1
477,1,0,0,1,-1
478,1,1,0,0,-1
479,1,-1,1,-1,-1
480,0,0,0,1,-1
481,1,1,1,0,1
482,1,0,-1,0,1
483,1,1,-1,0,-1
484,0,-1,1,1,-1
485,0,-1,-1,-1,0
486,0,-1,0,1,0
487,0,-1,0,1,0
488,1,-1,1,-1,1
489,0,-1,0,1,-1
490,1,-1,-1,0,0
491,1,0,0,1,1
492,-1,0,-1,1,-1
493,0,-1,1,0,1
494,0,0,-1,1,1
495,0,-1,-1,1,1
496,-1,0,0,-1,1
497,-1,-1,0,-1,1
498,-1,0,-1,1,-1
499,0,1,-1,-1,0
500,0,0,-1,-1,0
501,0,1,1,1,0
502,1,-1,-1,1,0
503,0,1,-1,-1,1
504,1,-1,0,1,1
505,1,0,-1,1,-1
506,0,0,1,0,1
507,1,0,-1,-1,-1
508,0,0,-1,1,-1
509,-1,1,1,-1,-1
510,-1,0,0,-1,1
511,1,0,-1,1,0
512,1,-1,1,1,0
513,0,0,-1,0,-1
514,0,0,1,1,-1
515,0,1,-1,1,0
516,1,1,0,-1,-1
517,-1,0,-1,-1,0
518,1,-1,-1,-1,0
519,0,0,0,-1,1
520,1,1,-1,1,-1
521,-1,1,-1,0,0
522,-1,-1,0,1,0
523,-1,1,-1,0,1
524,0,1,0,-1,-1
525,-1,-1,0,1,1
526,1,0,1,0,1
527,0,-1,-1,1,1
528,0,1,-1,1,-1
529,-1,-1,0,-1,0
530,-1,-1,1,1,-1
531,0,1,-1,1,0
532,1,0,0,1,1
533,1,0,-1,1,1
534,0,0,-1,0,0
535,0,0,0,-1,1
536,1,1,0,-1,1
537,1,1,1,-1,0
538,0,1,1,1,0
539,-1,0,0,1,0
540,1,1,1,-1,-1
541,-1,1,0,1,0
542,0,-1,-1,1,1
543,-1,-1,0,0,-1
544,0,1,-1,-1,-1
545,0,1,1,0,0
546,1,1,0,0,-1
547,0,1,-1,1,1
548,0,1,1,1,-1
549,-1,1,0,0,0
550,-1,0,0,1,0
551,1,-1,0,-1,1
552,-1,1,-1,1,1
553,1,-1,-1,-1,1
554,1,0,0,1,-1
555,0,1,0,-1,0
556,-1,0,1,0,-1
557,1,-1,1,1,1
558,-1,1,1,0,-1
559,-1,-1,0,-1,-1
560,1,0,0,0,1
561,0,0,0,1,0
562,-1,-1,0,-1,-1
563,0,-1,1,-1,0
564,1,1,1,-1,1
565,0,-1,-1,0,0
566,-1,0,1,1,0
567,0,-1,0,0,-1
568,1,1,0,0,0
569,1,0,-1,1,0
570,1,-1,-1,1,0
571,-1,1,1,-1,-1
572,1,0,0,-1,-1
573,-1,-1,-1,-1,0
574,1,-1,0,1,1
575,1,0,0,0,1
576,1,0,1,1,0
577,-1,1,-1,0,0
578,1,0,0,-1,1
579,-1,1,0,0,0
580,1,0,1,-1,1
581,0,1,1,1,1
582,-1,0,1,0,0
583,-1,1,-1,-1,-1
584,1,1,1,1,-1
585,-1,-1,-1,1,1
586,0,-1,-1,1,0
587,-1,0,0,-1,0
588,1,-1,1,1,0
589,-1,1,-1,1,1
590,0,-1,1,0,0
591,1,0,-1,-1,0
592,1,-1,0,1,1
593,-1,1,-1,1,0
594,-1,0,0,1,-1
595,1,0,-1,1,1
596,0,-1,1,-1,-1
597,-1,-1,1,-1,1
598,1,1,0,-1,0
599,1,0,-1,1,-1
600,-1,-1,-1,0,1
601,0,1,-1,0,1
602,1,0,1,0,-1
603,1,1,1,1,1
604,-1,1,-1,1,-1
605,1,1,0,1,1
606,-1,-1,1,0,0
607,0,-1,0,0,-1
608,1,0,0,-1,1
609,0,0,-1,0,0
610,1,-1,-1,0,-1
611,1,0,0,0,0
612,0,-1,-1,0,-1
613,-1,-1,1,-1,-1
614,0,0,1,1,0
615,1,1,0,-1,1
616,-1,1,-1,0,0
617,0,-1,1,-1,-1
618,-1,-1,1,-1,1
619,-1,1,-1,1,0
620,1,0,0,-1,-1
621,0,1,1,0,-1
622,-1,-1,0,0,1
623,-1,-1,1,-1,0
624,0,1,1,1,0
625,0,-1,1,1,1
626,0,0,-1,1,1
627,-1,-1,-1,1,0
628,0,-1,-1,0,-1
629,1,0,-1,-1,-1
630,-1,0,-1,0,-1
631,-1,0,1,1,-1
632,0,-1,-1,-1,0
633,-1,0,-1,0,-1
634,0,-1,1,0,-1
635,-1,0,0,-1,1
636,0,-1,-1,1,0
637,1,-1,1,1,1
638,1,-1,-1,0,1
639,1,1,-1,-1,1
640,0,1,0,1,0
641,0,-1,-1,1,-1
642,0,0,1,0,-1
643,-1,-1,-1,1,0
644,0,0,-1,1,0
645,-1,0,1,0,0
646,1,-1,-1,1,-1
647,1,-1,-1,1,0
648,1,-1,-1,-1,-1
649,0,1,1,0,-1
650,1,-1,-1,1,1
651,-1,1,-1,1,1
652,0,-1,-1,-1,-1
653,0,1,1,0,1
654,-1,-1,0,1,1
655,-1,0,-1,1,-1
656,0,0,0,0,1
657,0,-1,0,1,-1
658,1,0,0,1,0
659,1,1,0,0,-1
660,1,1,1,-1,0
661,-1,0,0,0,0
662,0,-1,0,-1,0
663,1,-1,-1,0,1
664,1,0,0,0,0
665,-1,1,-1,-1,0
666,1,1,0,1,-1
667,-1,-1,0,0,0
668,-1,1,0,0,1
669,1,1,0,-1,0
670,0,-1,-1,0,0
671,-1,1,-1,-1,0
672,1,1,1,-1,-1
673,-1,-1,-1,1,1
674,1,0,1,1,-1
675,-1,0,0,0,-1
676,0,-1,-1,1,0
677,1,0,0,0,0
678,1,0,-1,0,0
679,1,-1,1,1,-1
680,1,1,0,1,1
681,0,1,-1,1,-1
682,-1,1,0,0,0
683,1,1,-1,-1,1
684,1,0,-1,-1,1
685,-1,-1,-1,1,0
686,-1,0,1,-1,-1
687,0,0,-1,-1,0
688,0,-1,1,-1,1
689,0,0,0,0,0
690,-1,1,0,1,0
691,1,0,1,-1,1
692,-1,1,-1,-1,1
693,-1,1,0,0,-1
694,1,0,0,0,0
695,1,-1,1,1,-1
696,0,-1,1,-1,0
697,1,-1,1,0,0
698,1,1,0,1,1
699,0,1,0,0,0
700,-1,1,-1,-1,-1
701,-1,1,0,-1,1
702,1,-1,1,-1,-1
703,0,-1,1,-1,1
704,1,-1,1,1,0
705,1,1,1,0,-1
706,0,0,1,1,0
707,0,1,1,0,-1
708,0,1,0,1,1
709,1,1,-1,1,1
710,-1,1,0,1,1
711,-1,-1,0,0,-1
712,-1,-1,0,1,1
713,1,1,-1,0,1
714,1,0,1,0,-1
715,-1,0,0,-1,1
716,-1,1,1,0,1
717,1,-1,1,1,1
718,0,0,1,-1,0
719,-1,-1,0,0,1
720,1,1,-1,0,-1
721,1,1,-1,1,1
722,-1,-1,0,-1,1
723,-1,1,0,0,-1
724,-1,0,1,1,0
725,-1,1,1,-1,-1
726,1,1,0,0,0
727,-1,1,-1,1,0
728,1,-1,1,-1,0
729,1,0,0,-1,0
730,1,-1,1,-1,0
731,0,0,1,1,1
732,0,0,0,-1,-1
733,1,1,1,1,-1
734,-1,0,0,1,-1
735,0,0,-1,0,1
736,0,-1,0,-1,1
737,-1,1,0,1,0
738,-1,-1,0,-1,1
739,1,-1,1,1,0
740,1,0,0,0,0
741,0,-1,-1,0,-1
742,1,0,-1,0,1
743,0,1,-1,1,1
744,0,1,-1,0,1
745,0,1,1,-1,0
746,0,-1,-1,0,0
747,1,1,0,1,-1
748,1,1,-1,-1,0
749,-1,-1,0,1,1
750,0,-1,-1,0,1
751,-1,0,1,-1,0
752,1,0,0,-1,0
753,1,0,0,1,0
754,1,-1,-1,0,1
755,1,-1,-1,1,0
756,1,0,0,0,-1
757,-1,-1,0,1,-1
758,1,0,0,-1,0
759,1,0,1,1,1
760,-1,0,0,0,1
761,1,0,-1,1,-1
762,-1,1,-1,0,1
763,0,-1,-1,1,1
764,-1,-1,1,1,-1
765,-1,-1,1,0,0
766,1,1,1,1,0
767,-1,-1,1,-1,0
768,-1,-1,-1,0,1
769,1,1,0,0,0
770,-1,0,1,-1,-1
771,-1,1,-1,0,1
772,-1,1,0,1,1
773,0,0,1,0,1
774,0,0,-1,1,0
775,1,0,1,-1,-1
776,1,-1,0,1,-1
777,1,-1,-1,1,0
778,-1,0,0,-1,0
779,1,1,1,1,0
780,1,1,0,-1,1
781,1,0,-1,-1,-1
782,1,1,-1,0,1
783,0,1,-1,-1,0
784,-1,1,-1,0,-1
785,1,-1,0,0,1
786,-1,-1,1,-1,-1
787,-1,0,0,0,1
788,1,1,-1,1,0
789,0,0,0,-1,1
790,0,0,1,0,0
791,0,0,-1,0,-1
792,0,1,0,1,1
793,-1,0,1,0,0
794,0,-1,1,1,0
795,-1,-1,1,-1,-1
796,-1,-1,1,-1,0
797,-1,-1,1,1,-1
798,-1,0,-1,0,1
799,0,0,1,0,-1
